Team,MP,Win,Draw,Loss,GF,GA,GD,Points
Manchester City FC,38,28,5,5,94,33,61,89
Arsenal FC,38,26,6,6,88,43,45,84
Manchester United FC,38,23,6,9,58,43,15,75
Newcastle United FC,38,19,14,5,68,33,35,71
Liverpool FC,38,19,10,9,75,47,28,67
Brighton & Hove Albion FC,38,18,8,12,72,53,19,62
Aston Villa FC,38,18,7,13,51,46,5,61
Tottenham Hotspur FC,38,18,6,14,70,63,7,60
Brentford FC,38,15,14,9,58,46,12,59
Fulham FC,38,15,7,16,55,53,2,52
Crystal Palace FC,38,11,12,15,40,49,-9,45
Chelsea FC,38,11,11,16,38,47,-9,44
Wolverhampton Wanderers FC,38,11,8,19,31,58,-27,41
West Ham United FC,38,11,7,20,42,55,-13,40
AFC Bournemouth,38,11,6,21,37,71,-34,39
Nottingham Forest FC,38,9,11,18,38,68,-30,38
Everton FC,38,8,12,18,34,57,-23,36
Leicester City FC,38,9,7,22,51,68,-17,34
Leeds United FC,38,7,10,21,48,78,-30,31
Southampton FC,38,6,7,25,36,73,-37,25
