MP,Win,Draw,Loss,GF,GA,GD,Points,Win_mean,Win_std_dev,Win_rms,Win_skewness,Win_kurtosis,Win_max_value,Win_min_value,Win_median,Win_iqr,Win_zero_crossing_rate,Win_dominant_frequency,Win_max_frequency_magnitude,Win_power_spectral_density,Win_total_power,Win_spectral_entropy,Win_centroid_frequency,Draw_mean,Draw_std_dev,Draw_rms,Draw_skewness,Draw_kurtosis,Draw_max_value,Draw_min_value,Draw_median,Draw_iqr,Draw_zero_crossing_rate,Draw_dominant_frequency,Draw_max_frequency_magnitude,Draw_power_spectral_density,Draw_total_power,Draw_spectral_entropy,Draw_centroid_frequency,Loss_mean,Loss_std_dev,Loss_rms,Loss_skewness,Loss_kurtosis,Loss_max_value,Loss_min_value,Loss_median,Loss_iqr,Loss_zero_crossing_rate,Loss_dominant_frequency,Loss_max_frequency_magnitude,Loss_power_spectral_density,Loss_total_power,Loss_spectral_entropy,Loss_centroid_frequency,GF_mean,GF_std_dev,GF_rms,GF_skewness,GF_kurtosis,GF_max_value,GF_min_value,GF_median,GF_iqr,GF_zero_crossing_rate,GF_dominant_frequency,GF_max_frequency_magnitude,GF_power_spectral_density,GF_total_power,GF_spectral_entropy,GF_centroid_frequency,GA_mean,GA_std_dev,GA_rms,GA_skewness,GA_kurtosis,GA_max_value,GA_min_value,GA_median,GA_iqr,GA_zero_crossing_rate,GA_dominant_frequency,GA_max_frequency_magnitude,GA_power_spectral_density,GA_total_power,GA_spectral_entropy,GA_centroid_frequency,GD_mean,GD_std_dev,GD_rms,GD_skewness,GD_kurtosis,GD_max_value,GD_min_value,GD_median,GD_iqr,GD_zero_crossing_rate,GD_dominant_frequency,GD_max_frequency_magnitude,GD_power_spectral_density,GD_total_power,GD_spectral_entropy,GD_centroid_frequency,Points_mean,Points_std_dev,Points_rms,Points_skewness,Points_kurtosis,Points_max_value,Points_min_value,Points_median,Points_iqr,Points_zero_crossing_rate,Points_dominant_frequency,Points_max_frequency_magnitude,Points_power_spectral_density,Points_total_power,Points_spectral_entropy,Points_centroid_frequency
12,9,1,2,32,12,20,28,24.1875,5.246650717,24.75,-0.31886993,-0.930339822,32,15,25,7.5,0,0,387,9801,9801,1.752967083,3.385054706,6.5625,2.805546961,7.137051212,0.502748266,-0.342146063,13,2,5.5,4,0,0,105,815,815,2.297910165,4.905256203,7.25,3.832427429,8.200609733,1.30743201,1.572512449,18,2,6,4,0,0,116,1076,1076,2.315356457,5.186745126,81.875,17.66307943,83.75858165,-0.447115879,-0.877157206,106,45,83,26.25,0,0,1310,112248,112248,1.775184887,3.416083047,35.9375,8.073635721,36.83323906,0.516199661,-0.378127911,53,23,34.5,8.25,0,0,575,21707,21707,1.736914807,3.392012948,45.9375,24.22929206,51.93565731,-0.578176364,-0.542652534,79,-8,48,36,0.0625,0,735,43157,43157,2.330834262,5.190975577,79.125,13.9098661,80.33834701,-0.516817901,-0.510222218,100,50,80,19,0,0,1266,103268,103268,1.596038789,2.968435771
12,8,3,1,27,10,17,27,21.4375,5.171662571,22.05249419,0.59191341,-0.747052078,32,14,20.5,7.5,0,0,343,7781,7781,1.779254685,3.504878307,9.25,2.633913438,9.617692031,-0.51818896,-0.125152179,13,3,9.5,3.5,0,0,148,1480,1480,1.947876735,3.959312789,7.3125,4.149077458,8.40758586,0.087756433,-1.222947341,14,1,7.5,6.5,0,0,117,1131,1131,2.309543353,5.237539647,73.1875,14.60401807,74.630339,0.080011528,-0.760658889,101,47,73,21.75,0,0,1171,89115,89115,1.767166861,3.329042287,38.4375,8.724740326,39.4152572,-0.399473701,-1.078644999,50,22,41,13,0,0,615,24857,24857,1.840275795,3.55698712,34.75,19.21750504,39.70988542,0.126650903,-0.978433012,68,4,32,27,0,0,556,25230,25230,2.303112926,5.214403457,73.5625,14.07998912,74.8978471,0.387845497,-1.031163172,99,52,72,22.75,0,0,1177,89755,89755,1.585832629,3.010052066
12,8,3,1,26,10,16,27,21.0625,2.749289681,21.24117464,-0.642660712,0.705853414,26,14,21,3.25,0,0,337,7219,7219,1.388345919,2.448578947,8.3125,2.822205476,8.778524933,0.247568112,-0.715435472,14,3,7,5,0,0,133,1233,1233,1.97377605,4.151672072,8.625,2.735758579,9.048480535,0.084132795,-0.50741585,13,3,8.5,3,0,0,138,1310,1310,1.996172277,4.138024304,70.6875,8.424063375,71.18769205,-0.076114925,-0.122504386,88,55,72,6.75,0,0,1131,81083,81083,1.449792343,2.479655411,42.1875,5.822571919,42.58741011,-0.032999993,-1.006366289,51,31,42,11,0,0,675,29019,29019,1.466939213,2.59518412,28.5,10.24695077,30.28613544,-0.239444054,-0.635153061,45,8,29,12.25,0,0,456,14676,14676,2.134434257,4.454996215,71.5,7.202430145,71.86184662,-0.256439551,-0.193949775,84,56,71.5,6.25,0,0,1144,82626,82626,1.212904026,2.030016382
12,8,2,2,24,15,9,26,19.25,3.631459762,19.58953802,-0.428717965,-0.061229532,26,11,19.5,3.75,0,0,308,6140,6140,1.672614122,3.135978252,8.4375,3.061224224,8.975661536,0.080322016,-0.29288951,14,2,8,2.75,0,0,135,1289,1289,2.189231009,4.552219475,10.3125,3.014936774,10.74418447,-0.369079869,-0.703543481,15,4,11,4.25,0,0,165,1847,1847,1.926451101,3.914348221,65.125,8.887315399,65.72860869,-0.052704062,0.85837485,86,45,66.5,8.75,0,0,1042,69124,69124,1.43209313,2.527526141,44.6875,9.081015568,45.60084977,0.237564742,0.01470669,63,26,45,8.25,0,0,715,33271,33271,1.752852568,3.327011251,20.4375,15.33773431,25.55264174,0.808128725,0.389646793,60,0,21.5,21.75,0.125,0,327,10447,10447,2.406755775,5.735874541,66.1875,9.362283042,66.84637238,-0.219342945,0.209834685,86,46,69,9.5,0,0,1059,71495,71495,1.413107722,2.529586713
12,8,1,3,29,17,12,25,12.15384615,4.34734497,12.90795819,-0.396442405,-0.717277699,18,3,12,6,0,0,158,2166,2166,1.852815733,3.291204991,9.846153846,3.008862649,10.29563014,0.825615253,-0.033128284,17,6,8,4,0,0,128,1378,1378,1.750763092,3.01851014,16,5.129102486,16.80201453,0.355727227,-0.481224992,27,8,15,7,0,0,208,3670,3670,1.53404657,2.798042376,46.53846154,11.12595983,47.84992565,0.189868119,-0.063648635,71,27,48,13,0,0,605,29765,29765,1.617084538,2.654419203,55.84615385,10.06017398,56.74504384,0.355338222,-0.634712962,76,39,54,13,0,0,726,41860,41860,1.429733568,2.243431965,-9.307692308,18.98738292,21.14601254,-0.302433188,-0.698525474,20,-49,-11,28,0.307692308,1,151.8728262,5813,5813,2.30941205,5.50113693,46.30769231,13.19897791,48.15200291,-0.424483596,-0.426712292,64,17,45,22,0,0,602,30142,30142,1.645123952,2.82547175
12,7,0,5,13,16,-3,21,22.4375,4.076897564,22.80487886,0.131541408,-1.476660872,28,16,22,8,0,0,359,8321,8321,1.597265594,2.991567218,8.25,2.989565186,8.774964387,0.515780037,-0.60433273,15,4,8,4.25,0,0,132,1232,1232,2.098717249,4.434013701,7.3125,2.591301555,7.758060325,0.451823724,-1.00858387,12,4,7,4.25,0,0,117,963,963,2.146572546,4.469535235,68.9375,11.69117589,69.92183135,0.209835801,-0.995583901,89,49,67,17.5,0,0,1103,78225,78225,1.577684044,2.896383401,37.0625,9.640207142,38.2957243,0.419285173,-0.503737798,57,22,36.5,14.25,0,0,593,23465,23465,1.880780362,3.739285692,31.875,17.04360217,36.14553914,0.002435637,-0.968654715,58,0,29.5,23.75,0.125,0,510,20904,20904,2.356501702,5.239187697,75.5625,10.09931155,76.23442464,0.024406707,-1.342600693,90,58,74.5,19.5,0,0,1209,92987,92987,1.410986566,2.491078588
12,6,2,4,27,13,14,20,12.28571429,3.260774917,12.71107504,0.869572813,0.193574294,19,7,11.5,1.75,0,0,172,2262,2262,1.880466101,3.324659111,9.714285714,2.46195542,10.02140566,-0.243825942,0.23936333,14,4,9.5,2.5,0,0,136,1406,1406,1.821281633,3.201523217,16,3.760699023,16.43602315,-1.796893534,2.585858586,19,5,17,3.5,0,0,224,3782,3782,1.73685659,3.027533185,46.14285714,8.034364966,46.83710373,1.496349901,1.412341901,68,38,44,5.25,0,0,646,30712,30712,1.580032477,2.591860297,56.92857143,9.011613822,57.63741344,-1.238328195,1.02240973,68,33,59,10.25,0,0,797,46509,46509,1.541905783,2.477243039,-10.78571429,15.16188158,18.60683438,1.916043282,3.143200434,35,-23,-17,13.5,0.214285714,0,151,4847,4847,2.485103336,5.764518732,46.57142857,9.700620641,47.57099957,1.354233829,1.109006538,71,34,44.5,6.75,0,0,652,31682,31682,1.732255445,2.925770573
12,5,4,3,25,21,4,19,11,3.31662479,11.48912529,1.425326356,0.396694215,18,9,9,2.25,0,0,66,792,792,1.302049404,1.191909874,12.16666667,2.671869924,12.45659129,-0.598054852,-1.399233902,15,8,13.5,4,0,0,73,931,931,1.112602908,0.947858705,14.83333333,2.910708199,15.11621646,0.408516058,-0.690072561,20,11,15,3,0,0,89,1371,1371,1.021881348,0.851470765,43.66666667,12.97005097,45.5521679,1.606858696,0.884089319,72,34,39.5,5.5,0,0,262,12450,12450,1.314254897,1.196719441,51.83333333,5.367080729,52.1104596,-0.121339249,-1.108458585,60,44,53.5,6.25,0,0,311,16293,16293,0.688101827,0.498127227,-8.166666667,14.43856718,16.58814838,0.750180707,-0.51409394,19,-25,-10.5,15.75,0.166666667,1,50.08991915,1651,1651,1.753692826,2.375011754,45.16666667,8.782874751,46.01267941,0.963234594,-0.48399652,62,36,41,8.25,0,0,271,12703,12703,1.032318308,0.859835992
12,5,2,5,21,22,-1,17,12.4,3.09408037,12.78019301,0.285206313,-0.392210644,19,7,12,4,0,0,186,2450,2450,1.909835815,3.529584628,9.6,2.02649122,9.81155781,0.455652911,-0.630207455,14,7,9,3,0,0,144,1444,1444,1.82546296,3.269565475,16,3.224903099,16.32176461,-0.870628425,0.387573964,20,8,16,4,0,0,240,3996,3996,1.650883995,2.978461138,48.53333333,7.597075461,49.12433206,1.016346202,-0.275384687,65,40,47,8,0,0,728,36198,36198,1.451411098,2.511141412,55.66666667,7.930251502,56.22869967,0.499258589,-1.147299879,70,45,53,12.5,0,0,835,47425,47425,1.41642588,2.387513023,-7.133333333,11.92122291,13.89244399,0.457513445,-0.612953809,15,-27,-8,12,0.266666667,0,107,2895,2895,2.53559388,6.35539595,46.8,8.968091584,47.65151274,0.467040451,-0.572794565,65,33,46,11.5,0,0,702,34060,34060,1.701752629,3.006194712
12,4,4,4,21,16,5,16,21.5,4.886205071,22.04824256,-0.577006427,0.014171761,30,11,21,5.25,0,0,344,7778,7778,1.868138922,3.592748253,8.5625,2.548743563,8.933784193,-0.163233483,0.156713501,14,3,9,3,0,0,137,1277,1277,2.034583969,4.117746722,7.9375,3.418127228,8.642193009,0.569746903,-0.166051481,16,3,7.5,4.25,0,0,127,1195,1195,2.263803074,4.854457843,68.6875,13.26517409,69.95668303,0.371137207,1.79168961,103,38,68.5,10.75,0,0,1099,78303,78303,1.727185437,3.239798348,37,8.746427842,38.01973172,0.540276588,-0.641163655,54,24,34.5,8.75,0,0,592,23128,23128,1.952492007,3.765081416,31.6875,18.59676971,36.74149561,-0.16653292,0.097365112,71,-9,36,22,0.0625,0,507,21599,21599,2.336316027,5.329142897,73.0625,12.85723896,74.18515687,-0.646019711,-0.101761917,93,44,73,16.75,0,0,1169,88055,88055,1.675250306,3.079963678
12,4,4,4,19,17,2,16,14,1,14.03566885,0,-2,15,13,14,1,0,0,28,394,394,0.244930027,0.066666667,10.5,3.5,11.06797181,0,-2,14,7,10.5,3.5,0,0,21,245,245,0.562335145,0.25,13.5,4.5,14.23024947,0,-2,18,9,13.5,4.5,0,0,27,405,405,0.562335145,0.25,53,5,53.23532662,0,-2,58,48,53,5,0,0,106,5668,5668,0.293672994,0.086206897,51,5,51.2445119,0,-2,56,46,51,5,0,0,102,5252,5252,0.300882104,0.089285714,2,10,10.19803903,0,-2,12,-8,2,10,0.5,1,20,208,208,0.450561209,0.833333333,52.5,6.5,52.90085065,0,-2,59,46,52.5,6.5,0,0,105,5597,5597,0.346869553,0.110169492
12,4,3,5,12,16,-4,15,11.9,1.044030651,11.94571053,0.727596481,-0.840501641,14,11,11.5,1.75,0,0,119,1427,1427,0.889204815,0.962054279,9.2,2.821347196,9.622889379,0.463800668,-0.402919118,15,5,9,3.5,0,0,92,926,926,1.733697498,2.382700264,16.9,2.3,17.05579081,-0.370839155,0.201021294,21,12,17,2,0,0,169,2909,2909,1.171048483,1.375644818,42.7,6.738694236,43.22846285,-0.375171437,-1.126344275,51,31,43,10,0,0,427,18687,18687,1.295145907,1.563146059,53.2,6.16116872,53.55557861,1.027099754,-0.226910696,66,46,51,5.25,0,0,532,28682,28682,1.095557739,1.244625148,-10.5,7.9906195,13.1946959,0.032928195,-0.520259344,4,-25,-11,9.25,0.2,0,105,1741,1741,1.946397753,3.297673483,44.9,2.547547841,44.97221364,0.220641796,-1.139375263,49,41,44.5,4,0,0,449,20225,20225,0.68614979,0.680405303
12,4,3,5,16,20,-4,15,11.75,3.418698583,12.23723825,-0.574850515,-0.544653836,16,5,11.5,4.5,0,0,94,1198,1198,1.470868927,1.682126224,9.25,2.331844763,9.539392014,0.643267521,-0.216409037,14,6,9,2.5,0,0,74,728,728,1.421811051,1.571078891,17,4.031128874,17.47140521,-0.618265446,-0.28,23,9,17.5,3.25,0,0,136,2442,2442,1.328999428,1.465353523,40.125,6.808771916,40.6985872,0.173414256,-1.312547221,51,31,39,11.25,0,0,321,13251,13251,1.040131935,1.086709153,55.375,12.83488897,56.8429855,0.809940733,-0.224749727,82,40,54,14.75,0,0,443,25849,25849,1.292083997,1.431335188,-15.25,15.85678088,22,0.060031199,-0.838851844,11,-42,-18,21.25,0.25,0,122,3872,3872,1.880682193,2.858851522,44.5,10.39230485,45.6973741,-0.283663414,-0.670830118,59,25,43,13,0,0,356,16706,16706,1.352972558,1.477380158
12,3,3,6,10,20,-10,12,10.6,3.136877428,11.05441088,-0.25036549,-1.089728336,15,5,11,5.25,0,0,106,1222,1222,1.660484123,2.27877133,9.9,3.3,10.43551628,0.021370732,-0.705127913,16,5,10,4,0,0,99,1089,1089,1.636631608,2.34055461,17.5,4.477722635,18.06377591,0.544674814,-0.661799367,26,11,16.5,5,0,0,175,3263,3263,1.457298729,1.962007026,41.9,8.030566605,42.66263002,-0.106493402,-0.805949208,55,27,39.5,10.5,0,0,419,18201,18201,1.427683891,1.79015021,56.6,15.13406753,58.58839476,0.634482782,-0.494649355,85,34,53,12.75,0,0,566,34326,34326,1.526299665,2.061039923,-14.7,18.59058902,23.70021097,-0.622773197,-1.003096208,6,-47,-8.5,25.75,0.5,0,147,5617,5617,2.136740317,3.859931904,41.7,9.86965045,42.85207113,-0.357814699,-1.441380476,53,26,44.5,18.25,0,0,417,18363,18363,1.499242717,1.970390888
12,2,3,7,11,27,-16,9,11.16666667,1.213351648,11.23239363,-0.321371885,-0.399430402,13,9,11,0.75,0,0,67,757,757,0.780388261,0.566085184,8.166666667,1.950783318,8.396427812,0.169624294,-1.594224519,11,6,8,3.5,0,0,49,423,423,1.106528512,0.970235789,18.66666667,2.2852182,18.8060274,0.161382544,-1.444997737,22,16,18.5,4,0,0,112,2122,2122,0.599654801,0.479129698,46.33333333,7.0632067,46.86861068,0.228186692,-1.421183427,56,37,45,11.25,0,0,278,13180,13180,0.971635148,0.759346272,66.83333333,3.287180487,66.91412407,-0.471828498,-0.757290792,71,61,67,3.75,0,0,401,26865,26865,0.442433627,0.272725225,-20.5,7.522189398,21.83651376,-0.616732046,-0.863337534,-12,-34,-19,9.75,0,0,123,2861,2861,1.271593841,1.248774947,41.66666667,4.109609335,41.86884283,-0.812707975,-0.65625,46,34,43,5,0,0,250,10518,10518,0.720897372,0.513488206
12,1,2,9,10,31,-21,5,10.5,3.5,11.06797181,0,-2,14,7,10.5,3.5,0,0,21,245,245,0.562335145,0.25,7,5,8.602325267,0,-2,12,2,7,5,0,0,14,148,148,0.679193266,0.416666667,20.5,8.5,22.19234102,0,-2,29,12,20.5,8.5,0,0,41,985,985,0.604907121,0.293103448,29.5,9.5,30.99193443,0,-2,39,20,29.5,9.5,0,0,59,1921,1921,0.555182547,0.243589744,51,12,52.39274759,0,-2,63,39,51,12,0,0,102,5490,5490,0.486912709,0.19047619,-21.5,21.5,30.40559159,0,-2,0,-43,-21.5,21.5,0.5,0,43,1849,1849,0.693147181,0.5,38.5,15.5,41.50301194,0,-2,54,23,38.5,15.5,0,0,77,3445,3445,0.599477331,0.287037037
12,4,2,6,14,17,-3,4,14.625,3.218598297,14.97497913,-0.053774006,-0.402080219,21,8,15,4.25,0,0,234,3588,3588,1.844294499,3.53659302,10.8125,2.505462782,11.09898644,0.09379008,-0.732689784,15,6,10.5,3.25,0,0,173,1971,1971,1.869164969,3.610979928,12.5625,3.622305033,13.07430686,0.560034875,-0.16090128,21,7,12.5,5.25,0,0,201,2735,2735,1.989961034,3.999228879,51.375,7.490619133,51.9182049,-0.508990856,-0.354087204,62,34,52.5,9.75,0,0,822,43128,43128,1.558758532,2.771982454,47.6875,8.679852749,48.47099648,0.286493377,-0.67155469,66,33,47,15.25,0,0,763,37591,37591,1.720152021,3.18059452,3.6875,14.49878766,14.9603643,-0.561198792,-0.872087264,22,-23,7,20.25,0.3125,1,95.15013102,3581,3581,2.702695015,7.475391047,54.6875,9.43211767,55.4949322,-0.271415978,-0.585078435,72,36,55,13,0,0,875,49275,49275,1.662439582,3.063500757
12,1,1,10,9,30,-21,4,10.375,2.825663639,10.75290658,0.314249992,-1.192420372,15,7,10.5,4,0,0,83,925,925,1.315572219,1.509064473,9.5,2.692582404,9.874208829,0.307357801,-1.2960761,14,6,9,5,0,0,76,780,780,1.315272356,1.506524366,18.125,3.515590278,18.46280044,-0.241924008,-0.613996589,24,12,19,3.75,0,0,145,2727,2727,1.140108489,1.204793407,37.5,5.408326913,37.88799282,-0.246533421,-1.070786763,45,28,37.5,8.5,0,0,300,11484,11484,1.124088902,1.102265799,56.875,12.03575403,58.13454223,0.793780168,0.089307659,82,39,54,6,0,0,455,27037,27037,1.198535375,1.297052002,-19.375,10.66463197,22.11617055,-0.277526021,-0.316884652,-3,-40,-20.5,9.75,0,0,155,3913,3913,1.717801732,2.272480785,40.625,8.395497305,41.48343043,0.625216381,-0.958535261,54,30,39.5,9,0,0,325,13767,13767,1.229762984,1.313483671
