Win,GD,GF,GF_max_value,GD_max_value,Points_rms,GF_mean,Points_mean,GF_rms,Win_rms,GF_median,Points_max_value,GD_mean,Win_max_value,GF_power_spectral_density,GF_total_power,Win_mean,GF_max_frequency_magnitude,Points_power_spectral_density,Points_max_frequency_magnitude,Points_total_power,Win_total_power,Win_power_spectral_density,Points_median,GF_min_value,GF_std_dev,Draw_centroid_frequency,Loss,GA,Loss_min_value,Loss_mean,Loss_rms,Loss_median,Loss_max_value
9,20,32,106,79,80.33834701,81.875,79.125,83.75858165,24.75,83.0,100,45.9375,32,112248,112248,24.1875,1310,103268,1266,103268,9801,9801,80.0,45,17.66307943,4.905256203,2,12,2,7.25,8.200609733,6.0,18
8,17,27,101,68,74.8978471,73.1875,73.5625,74.630339,22.05249419,73.0,99,34.75,32,89115,89115,21.4375,1171,89755,1177,89755,7781,7781,72.0,47,14.60401807,3.959312789,1,10,1,7.3125,8.40758586,7.5,14
8,16,26,88,45,71.86184662,70.6875,71.5,71.18769205,21.24117464,72.0,84,28.5,26,81083,81083,21.0625,1131,82626,1144,82626,7219,7219,71.5,55,8.424063375,4.151672072,1,10,3,8.625,9.048480535,8.5,13
8,9,24,86,60,66.84637238,65.125,66.1875,65.72860869,19.58953802,66.5,86,20.4375,26,69124,69124,19.25,1042,71495,1059,71495,6140,6140,69.0,45,8.887315399,4.552219475,2,15,4,10.3125,10.74418447,11.0,15
8,12,29,71,20,48.15200291,46.53846154,46.30769231,47.84992565,12.90795819,48.0,64,-9.307692308,18,29765,29765,12.15384615,605,30142,602,30142,2166,2166,45.0,27,11.12595983,3.01851014,3,17,8,16.0,16.80201453,15.0,27
7,-3,13,89,58,76.23442464,68.9375,75.5625,69.92183135,22.80487886,67.0,90,31.875,28,78225,78225,22.4375,1103,92987,1209,92987,8321,8321,74.5,49,11.69117589,4.434013701,5,16,4,7.3125,7.758060325,7.0,12
6,14,27,68,35,47.57099957,46.14285714,46.57142857,46.83710373,12.71107504,44.0,71,-10.78571429,19,30712,30712,12.28571429,646,31682,652,31682,2262,2262,44.5,38,8.034364966,3.201523217,4,13,5,16.0,16.43602315,17.0,19
5,4,25,72,19,46.01267941,43.66666667,45.16666667,45.5521679,11.48912529,39.5,62,-8.166666667,18,12450,12450,11.0,262,12703,271,12703,792,792,41.0,34,12.97005097,0.947858705,3,21,11,14.83333333,15.11621646,15.0,20
5,-1,21,65,15,47.65151274,48.53333333,46.8,49.12433206,12.78019301,47.0,65,-7.133333333,19,36198,36198,12.4,728,34060,702,34060,2450,2450,46.0,40,7.597075461,3.269565475,5,22,8,16.0,16.32176461,16.0,20
4,5,21,103,71,74.18515687,68.6875,73.0625,69.95668303,22.04824256,68.5,93,31.6875,30,78303,78303,21.5,1099,88055,1169,88055,7778,7778,73.0,38,13.26517409,4.117746722,4,16,3,7.9375,8.642193009,7.5,16
4,2,19,58,12,52.90085065,53.0,52.5,53.23532662,14.03566885,53.0,59,2.0,15,5668,5668,14.0,106,5597,105,5597,394,394,52.5,48,5.0,0.25,4,17,9,13.5,14.23024947,13.5,18
4,-4,12,51,4,44.97221364,42.7,44.9,43.22846285,11.94571053,43.0,49,-10.5,14,18687,18687,11.9,427,20225,449,20225,1427,1427,44.5,31,6.738694236,2.382700264,5,16,12,16.9,17.05579081,17.0,21
4,-4,16,51,11,45.6973741,40.125,44.5,40.6985872,12.23723825,39.0,59,-15.25,16,13251,13251,11.75,321,16706,356,16706,1198,1198,43.0,31,6.808771916,1.571078891,5,20,9,17.0,17.47140521,17.5,23
3,-10,10,55,6,42.85207113,41.9,41.7,42.66263002,11.05441088,39.5,53,-14.7,15,18201,18201,10.6,419,18363,417,18363,1222,1222,44.5,27,8.030566605,2.34055461,6,20,11,17.5,18.06377591,16.5,26
2,-16,11,56,-12,41.86884283,46.33333333,41.66666667,46.86861068,11.23239363,45.0,46,-20.5,13,13180,13180,11.16666667,278,10518,250,10518,757,757,43.0,37,7.0632067,0.970235789,7,27,16,18.66666667,18.8060274,18.5,22
1,-21,10,39,0,41.50301194,29.5,38.5,30.99193443,11.06797181,29.5,54,-21.5,14,1921,1921,10.5,59,3445,77,3445,245,245,38.5,20,9.5,0.416666667,9,31,12,20.5,22.19234102,20.5,29
4,-3,14,62,22,55.4949322,51.375,54.6875,51.9182049,14.97497913,52.5,72,3.6875,21,43128,43128,14.625,822,49275,875,49275,3588,3588,55.0,34,7.490619133,3.610979928,6,17,7,12.5625,13.07430686,12.5,21
1,-21,9,45,-3,41.48343043,37.5,40.625,37.88799282,10.75290658,37.5,54,-19.375,15,11484,11484,10.375,300,13767,325,13767,925,925,39.5,28,5.408326913,1.506524366,10,30,12,18.125,18.46280044,19.0,24
