,0
Points,1.0
Win,0.9533104557457376
GD,0.8948732427304006
GF,0.8586225905364607
GF_max_value,0.8215219412798919
GD_max_value,0.7745621530420769
Points_rms,0.7518113287871696
GF_mean,0.7394017882844927
Points_mean,0.7362994031588235
GF_rms,0.7300946329074851
Win_rms,0.7269922477818159
GF_median,0.7232290137967814
Points_max_value,0.7230852735691926
GD_mean,0.7197533491552544
Win_max_value,0.7174050173932447
GF_power_spectral_density,0.697002524900347
GF_total_power,0.697002524900347
Win_mean,0.6876953695233393
GF_max_frequency_magnitude,0.681490599272001
Points_power_spectral_density,0.6649445452684319
Points_max_frequency_magnitude,0.6649445452684319
Points_total_power,0.6649445452684319
Win_total_power,0.6649445452684319
Win_power_spectral_density,0.6649445452684319
Points_median,0.6599275122106363
GF_min_value,0.6542250749488004
GF_std_dev,0.651500876390532
Draw_centroid_frequency,0.6504667480153089
